"cp$optimal_cutpoint","biome","paired_biome"
0.966372700704418,"TUND","CENF"
0.968100063956698,"TUND","CMIX"
0.953505935485916,"TUND","TEDE"
0.911559425477436,"TUND","WTSFS"
0.91274283215139,"TUND","ENWD"
0.91096643212807,"TUND","GRAM"
0.903522240810535,"TUND","DESE"
0.883453071037066,"TUND","XSHB"
0.961076309448265,"CENF","TUND"
0.974597282875264,"CENF","CMIX"
0.945730614200316,"CENF","TEDE"
0.920812390595026,"CENF","WTSFS"
0.921452567614558,"CENF","ENWD"
0.92694534095554,"CENF","GRAM"
0.890854887377061,"CENF","DESE"
0.824545071056683,"CENF","XSHB"
0.929493593736916,"CMIX","TUND"
0.916895210881583,"CMIX","CENF"
0.948890912706219,"CMIX","TEDE"
0.929456315287974,"CMIX","WTSFS"
0.939173024912461,"CMIX","ENWD"
0.929369058515694,"CMIX","GRAM"
0.905426221796394,"CMIX","DESE"
0.881217986944574,"CMIX","XSHB"
0.869399706414974,"TEDE","TUND"
0.88488478769725,"TEDE","CENF"
0.916027490681443,"TEDE","CMIX"
0.92160244075239,"TEDE","WTSFS"
0.9306630123784,"TEDE","ENWD"
0.909093126824273,"TEDE","GRAM"
0.890971296714406,"TEDE","DESE"
0.870044493393942,"TEDE","XSHB"
0.845264754163462,"WTSFS","TUND"
0.845032035800922,"WTSFS","CENF"
0.893871889159439,"WTSFS","CMIX"
0.92018266863484,"WTSFS","TEDE"
0.892395082131104,"WTSFS","ENWD"
0.928704804168486,"WTSFS","GRAM"
0.902771274601112,"WTSFS","DESE"
0.91715390776671,"WTSFS","XSHB"
0.866486490254598,"ENWD","TUND"
0.870783742247777,"ENWD","CENF"
0.870783742247777,"ENWD","CMIX"
0.909620656149648,"ENWD","TEDE"
0.909620656149648,"ENWD","WTSFS"
0.909620656149648,"ENWD","GRAM"
0.88970430724378,"ENWD","DESE"
0.870783742247777,"ENWD","XSHB"
0.881653774336291,"GRAM","TUND"
0.904069506593655,"GRAM","CENF"
0.899488156284273,"GRAM","CMIX"
0.93171315211538,"GRAM","TEDE"
0.917804515667216,"GRAM","WTSFS"
0.947692255150852,"GRAM","ENWD"
0.932702544928205,"GRAM","DESE"
0.922727264903699,"GRAM","XSHB"
0.875067787425417,"DESE","TUND"
0.875067787425417,"DESE","CENF"
0.875067787425417,"DESE","CMIX"
0.918698189531905,"DESE","TEDE"
0.918698189531905,"DESE","WTSFS"
0.927176298330432,"DESE","ENWD"
0.918698189531905,"DESE","GRAM"
0.918698189531905,"DESE","XSHB"
0.808657291930905,"XSHB","TUND"
0.798680022154936,"XSHB","CENF"
0.876018901217012,"XSHB","CMIX"
0.907504548961229,"XSHB","TEDE"
0.920226309881592,"XSHB","WTSFS"
0.914742501264064,"XSHB","ENWD"
0.922532811915484,"XSHB","GRAM"
0.920226309881592,"XSHB","DESE"
